Customer ID,"Avg Monthly Sent Emails
(Jan-Oct)","Avg Monthly Sent Emails 
(Nov-Dec)","Avg Monthly Subscribers
",Email Provider,Avg Monthly Opened Emails,"Avg Mthly Sales $ 
(via Email Campaigns)","Avg Mthly Sales $
(Total)"
1,86394,"184,019",14709,Third Party Solution,2591.82,"$53,561 ","$5,356,100 "
2,34309,"63,129",8209,Third Party Solution,343.09,"$16,399 ","$273,317 "
3,42175,"91,942",17454,Third Party Solution,421.75,"$54,440 ","$907,333 "
4,2074,"2,489",1411,Shopify Email,186.66,$672 ,"$22,400 "
5,20695,"37,872",11251,Third Party Solution,620.85,"$17,800 ","$445,000 "
6,60062,"125,530",14648,Third Party Solution,1201.24,"$51,035 ","$2,551,750 "
7,89127,"195,188",19181,Third Party Solution,2673.81,"$54,859 ","$1,371,475 "
8,119397,"243,570",19582,Third Party Solution,3581.91,"$59,707 ","$1,492,675 "
9,99571,"207,108",15181,Third Party Solution,995.71,"$55,584 ","$1,852,800 "
10,22428,"40,595",10697,Third Party Solution,224.28,"$26,686 ","$889,533 "
11,67667,"140,071",17894,Third Party Solution,676.67,"$52,189 ","$1,304,725 "
12,6964,"8,844",6628,Shopify Email,487.48,"$4,580 ","$76,333 "
13,88440,"176,880",14657,Third Party Solution,1768.8,"$59,225 ","$1,974,167 "
14,23721,"46,493",11000,Third Party Solution,711.63,"$46,736 ","$934,720 "
15,36358,"69,807",8849,Third Party Solution,1090.74,"$14,446 ","$722,300 "
16,48982,"82,290",11617,Shopify Email,4408.38,"$2,726 ","$45,433 "
17,32745,"61,561",10121,Third Party Solution,327.45,"$25,868 ","$431,133 "
18,55482,"116,512",13867,Third Party Solution,1109.64,"$53,518 ","$1,337,950 "
19,1201,"1,333",1215,Shopify Email,84.07,$23 ,$460 
20,39004,"74,498",8223,Third Party Solution,780.08,"$11,366 ","$284,150 "
21,3716,"6,614",7318,Shopify Email,185.8,"$2,771 ","$92,367 "
